,weight
pos_ratio_pron,-5.504063571871322
pos_ratio_adj,-2.6909802880290816
avg_word_len,-2.4495879309782684
pos_ratio_verb,-2.238240762393378
pos_ratio_adv,-2.0805246523734127
pos_ratio_propn,-0.8887590427893632
avg_sent_len,-0.026910983480373338
excl_per_1k,-0.0014451440294852666
quotes_per_1k,-0.0006347333299899059
quest_per_1k,0.002115520835655332
punct_ratio,0.014466834850352083
fk_grade,0.07652068601018862
avg_word_len,-2.4495879309782684
pos_ratio_verb,-2.238240762393378
pos_ratio_adv,-2.0805246523734127
pos_ratio_propn,-0.8887590427893632
avg_sent_len,-0.026910983480373338
excl_per_1k,-0.0014451440294852666
quotes_per_1k,-0.0006347333299899059
quest_per_1k,0.002115520835655332
punct_ratio,0.014466834850352083
fk_grade,0.07652068601018862
ttr,1.1280177591509846
pos_ratio_noun,10.228384911771537
