marker_for,ngram,weight
Mark Twain,tom,4.008875736721579
Mark Twain,king,3.628930173145001
Mark Twain,got,3.205636381822012
Mark Twain,didn,2.9454261816799563
Mark Twain,don,2.853728811005983
Mark Twain,ll,2.441699876687029
Mark Twain,couldn,2.3688146882067933
Mark Twain,says,2.312030167440433
Mark Twain,right,2.1161503738543774
Mark Twain,ye,2.0863700249635717
Mark Twain,went,1.9801758448649933
Mark Twain,ain,1.9397750184931786
Mark Twain,boys,1.8806073984258755
Mark Twain,boy,1.7386317432200875
Mark Twain,work,1.6524466843430698
Mark Twain,wouldn,1.6502010606359137
Mark Twain,head,1.639075928921611
Mark Twain,way,1.6227435739455813
Mark Twain,sandy,1.606493499404271
Mark Twain,huck,1.5887466544694737
Mark Twain,warn,1.5774064068534326
Mark Twain,dead,1.5367830019790474
Mark Twain,people,1.5365444896409597
Mark Twain,ve,1.5307661520737967
Mark Twain,old,1.5143660783018673
Jane Austen,mr,-5.411254140546649
Jane Austen,mrs,-4.295899319211953
Jane Austen,miss,-3.892898886772219
Jane Austen,emma,-3.6510448044347177
Jane Austen,elinor,-3.494318812008605
Jane Austen,elizabeth,-3.4929973224565516
Jane Austen,marianne,-3.315529087357907
Jane Austen,sister,-2.639640006454134
Jane Austen,harriet,-2.5435924622286787
Jane Austen,dear,-2.2937164550105686
Jane Austen,darcy,-2.258268293262808
Jane Austen,jane,-2.172775007679231
Jane Austen,father,-2.0708212799040853
Jane Austen,knightley,-2.039951791239452
Jane Austen,think,-2.0306448076420534
Jane Austen,john,-1.9367319108188776
Jane Austen,quite,-1.935203228273601
Jane Austen,woodhouse,-1.929691426172653
Jane Austen,weston,-1.9144846842206054
Jane Austen,mother,-1.9134170552444487
Jane Austen,feelings,-1.86279657640134
Jane Austen,edward,-1.8459992217376116
Jane Austen,replied,-1.7931450178569752
Jane Austen,letter,-1.7880533805224266
Jane Austen,really,-1.7711361385649491
